2025-08-30 21:15:13 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_login_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:15:30 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:15:46 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:15:48 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: send_group_msg, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:16:25 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:16:35 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:16:47 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:16:49 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: send_group_msg, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:17:01 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:17:07 | ERROR    | src.core.bot:_make_request:77 - [OneBot] API请求异常: get_group_info, 错误: Cannot connect to host 127.0.0.1:8029 ssl:default [远程计算机拒绝网络连接。]

2025-08-30 21:36:20 | ERROR    | src.gui.config_window:load_config:465 - 加载配置失败: 'NoneType' object has no attribute 'onebot'

2025-08-30 21:38:10 | ERROR    | src.gui.config_window:load_config:465 - 加载配置失败: 'ServerConfig' object has no attribute 'workers'

2025-08-30 21:40:44 | ERROR    | src.gui.config_window:apply_config:484 - 保存配置失败: expected floating-point number but got "10 MB"

2025-08-30 21:42:06 | ERROR    | src.gui.config_window:apply_config:491 - 保存配置失败: expected floating-point number but got "7 days"

2025-08-30 21:45:37 | ERROR    | src.gui.config_window:apply_config:497 - 保存配置失败: ConfigManager.save_config() takes 1 positional argument but 2 were given

